,Train Accuracy,Test Accuracy,Precision,Recall (DR),F1-score,ROC-AUC,Detection Rate,FPR,FAR
Decision Tree,0.9999271243259,0.895888582818622,0.9814077531193447,0.8633914580906813,0.9186247108067989,0.9143051543775519,0.8633914580906813,0.03485714285714286,0.104111417181378
Logistic Regression,0.9250230772967983,0.8736176935229067,0.9768496256096724,0.8340804920354279,0.8998372807810523,0.9763998220285928,0.8340804920354279,0.042125,0.1263823064770932
Naive Bayes,0.7495506000097167,0.7459692827119727,0.940735590463957,0.6689067462146286,0.7818685785365185,0.8626264911502094,0.6689067462146286,0.08980357142857143,0.25403071728802734
Random Forest,0.9999271243259,0.9007077637289624,0.9879649576332041,0.8646483605801862,0.9222024612799729,0.981181884039972,0.8646483605801862,0.022446428571428572,0.09929223627103757
ANN,0.9721736384394889,0.8923583189328224,0.9883439459485733,0.8518949899866768,0.915060799438359,0.9826043642048535,0.8518949899866768,0.021410714285714286,0.10764168106717767
EM Clustering,0.6856993635524462,0.6678130043743334,0.8244315345646102,0.6504554176686973,0.7271824560417428,,0.6504554176686973,0.2951964285714286,0.33218699562566656
SVM (Proposed),0.9746028275761551,0.8909268225914075,0.9861361740109048,0.8517190236381461,0.9140120945080143,,0.8517190236381461,0.025517857142857144,0.1090731774085924
